pdb,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
protein,0.8983571680514544,5437.701260734685,13236.34031022853,17732.40028223966,0.3066534239124386,0.746449442802491,5.416000946841318,0.0001372729774974138,0.9518212424624585,0.3503664833834227,0.1008198084396915
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.34393305987457,4623.665762357343,31852.343264700536,33284.33376505501,0.13891417490866823,0.9569770417980272,7.4971105827528115,0.00020697366353534155,0.9903044239068326,0.6431248826592567,0.12236681273770535
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9166599502119867,5188.972993720252,12010.285207948362,16279.789355904406,0.31873710895640667,0.7377420521471572,5.193691637547275,0.00014217496468761355,0.9478431596915767,0.33504168960209163,0.10631060681955856
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.2475902486793338,4924.444613438269,8084.286235156594,10806.392091480613,0.4556973846359444,0.7481022497351328,4.37686950748604,0.0001519160653556025,0.8901347615029761,0.18334070847213557,0.2794485941973269
protein,1.363238713490253,3704.2646881665733,40359.545236121885,41159.192407065755,0.0899984783843977,0.9805718449712197,8.286440737406704,0.00026471430297724056,0.9959419028680805,0.7564741070520707,0.12116595114632892
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0266453533272482,2572.206577442665,39087.06717685506,40499.12042348515,0.06351265288100087,0.9651337305140275,8.13608701810906,0.0003752162594473968,0.9979810333488394,0.8218604504742452,0.06532420878868336
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.006960263451289,3002.3326526614687,26195.29042684285,27938.751110305846,0.10746123335319702,0.9375970430253098,6.784939075236943,0.0003122895266765863,0.9942092754175097,0.7123630988750069,0.07699891825766186
protein,0.915766062201487,5041.449850013864,9195.502443658297,13310.413447121562,0.37875982365552296,0.6908502489565316,4.707357937008735,0.00013703404169628538,0.9254950005183372,0.27031273594788074,0.14347060493958017
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.335929800618463,4557.323990441061,14781.975166083348,16480.49561164254,0.27652833372447666,0.8969375384342639,5.372187479771168,0.0001968123267767622,0.9610057651479331,0.3890557461512627,0.20947653902236021
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.218657787001821,4863.541610883795,7715.927464260429,10405.351436961852,0.4674077219158154,0.7415345373969724,4.299893936314633,0.0001524680154349953,0.88404186636916,0.17444857214253298,0.26669882642956144
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1697162181913874,5466.9248703103785,19412.100633050628,22732.464089615158,0.24048976163599559,0.8539373715284404,6.193633434145668,0.00015620067803857692,0.9706516751895409,0.44430880693652713,0.1328370845543669
protein,0.9104898732590299,5138.995376534675,13878.593812702242,18260.22620191662,0.2814310907055072,0.7600450103540078,5.480432591970401,0.0001478975859414999,0.9595814406210181,0.3853470606849658,0.09483315545759687
protein,0.9280521646114318,5663.232290396383,11063.39191981926,15525.873889549595,0.36476093588575925,0.7125777266080968,5.097665012973984,0.00012582526904581938,0.9311012080605121,0.28137635779276576,0.11562143573254041
protein,0.7845052366055039,5601.075710649872,13260.327976481973,18271.38777812573,0.30654900321011236,0.7257427918177659,5.469761790093245,0.00012957203746377508,0.9518548779256671,0.3543716877363639,0.07628559103270932
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9952354022387407,2355.1257781572954,39163.80212351659,40399.777823021555,0.058295513120748946,0.9694063738439508,8.12421026144015,0.0004116155420804899,0.998299370504654,0.8356244675889715,0.059165435789827546
protein,1.1429050057000283,2290.852974088019,24403.211058038047,25223.11748228932,0.09082354612575412,0.9674938506381308,6.467630009364864,0.00042232908946209733,0.9958670008937655,0.7535206217459867,0.11878649021289175
protein,0.9599459982208548,2714.405364153039,25693.683182571436,27312.16706143973,0.09938447425452854,0.9407412866497391,6.700329552186521,0.0003465736175861388,0.9950491074701544,0.7316001089244314,0.07235542548543838
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9580245100682354,6456.924018472725,12352.133671012592,17493.055173737655,0.3691135684615294,0.7061164301108971,5.408235133016554,0.00010935802064431244,0.9293842981122479,0.27769424174690877,0.12373395493867823
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1713841955904916,5256.928969206668,10961.363070573585,14289.487213178365,0.3678878668479095,0.7670928219498706,4.957867447737945,0.00014592033227826435,0.9298701615957438,0.2690464780578047,0.2245622433953578
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.3491815687477164,5430.890439205586,18212.059228494763,21133.290285507846,0.25698272090313445,0.8617711195205454,6.006388568678536,0.00015867952579183363,0.9664159979828675,0.4174320842989799,0.198752098475583
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.13144018050323,2483.4115454163025,25851.754790109957,26660.191877317768,0.09315055033527965,0.9696762464828461,6.656602616241057,0.00039046135879999545,0.9956520350866734,0.7480599762772413,0.11229905114089692
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1520180141160008,2760.6011416772767,24384.19833273844,25537.159657564327,0.10810133854723984,0.9548516224871403,6.515092292846004,0.0003458853972316315,0.9941398797977552,0.7117423596474757,0.12250607072060153
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.273503575579232,4246.508475456955,16659.334633630235,18956.832160116457,0.2240093935310164,0.8788037206279665,5.667256048460574,0.0002069473605685906,0.9745869851428688,0.47292963644028496,0.18131491699094188
protein,0.9921882583532805,3520.0580507134346,18176.781903381252,20441.468329852945,0.17220182004111237,0.8892111667357907,5.8267738410496,0.0002526126427249028,0.9850616900349584,0.5702544803932135,0.09739913237946747
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.2201167722035922,5396.682413734261,6726.234772524644,10166.206053841037,0.5308452715942409,0.661626838655637,4.244657814300766,0.00012259880940405774,0.8474687590855705,0.14633293368953837,0.30037932899587966
protein,1.3486051325751074,2920.9507177817936,20566.704610306067,20688.176191215418,0.1411893774871312,0.9941284538672418,5.965982570464556,0.0003403441378915819,0.9899826057486043,0.6426445016251822,0.18293681602271378
protein,1.053338204269175,4964.138702983615,8037.784116067518,11554.624114137197,0.4296235562444599,0.6956335434774732,4.444478744990993,0.00014013177010130154,0.9030080840833395,0.21640915766581612,0.19231095874873752
